Tract_ID,P2010,None,Baseline_only,Baseline,Elev,LC,RZ,Soil,SPI,Tree,Static,Static_reduced,Dynamic,Dynamic_reduced,Full,Full_reduced
48091310902,5951,0.074129573,0.074129573,0.074129573,0.294386315,0.374726117,0.314337317,0.145032907,0.224003735,0.268369024,0.343925282,0.382395783,0.23178957,0.211091117,0.344102593,0.327874373
48091310903,3790,0.070671162,0.070671162,0,0,0,0,0,0,0,0,0,0,0,0,0
48123970100,4006,0.211377359,0.211377359,0.211377359,0.197347901,0.241192962,0.176520989,0.194067247,0.335534507,0.385527019,0.364521964,0.328647728,0.30103445,0.30300962,0.348857783,0.345620943
48123970200,5486,0.228000615,0.228000615,0.228000615,0.201411899,0.19281382,0.147410639,0.314016367,0.327829483,0.317846631,0.323619803,0.299698777,0.333538847,0.339604173,0.343070893,0.373610997
48123970300,4193,0.230108927,0.230108927,0.230108927,0.204986933,0.259927917,0.238211757,0.176293613,0.25069137,0.381221134,0.353827671,0.346252753,0.234800523,0.227254213,0.337545447,0.31868523
48123970400,3704,0.380934989,0.380934989,0.380934989,0.27726434,0.261183141,0.279252422,0.329452807,0.30470736,0.385746938,0.376163266,0.392844111,0.304238813,0.308309237,0.365566043,0.362990747
48123970500,2708,0.26841908,0.26841908,0.26841908,0.183794055,0.308409358,0.363770941,0.30567044,0.304459383,0.357078877,0.400041985,0.400941913,0.31969792,0.31544771,0.35535132,0.38663916
48131950100,5314,0.177355603,0.177355603,0.177355603,0.205776154,0.209908758,0.134020137,0.225801633,0.246653997,0.316765852,0.31050731,0.36111322,0.268986717,0.263667023,0.40302595,0.35171316
48131950200,3290,0.073147344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48131950500,3178,0.044443434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48149970100,1964,0.04358202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48149970200,2326,0.050738574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48149970300,5812,0.045278107,0.045278107,0.045278107,0.033989225,0.050600604,0.039612184,0.006277344,0.028185368,0.086357323,0.121778341,0.07719743,0.02863047,0.031591223,0.026008273,0.016233517
48149970400,3504,0.061484779,0,0.061484779,0.022168356,0.0291148,0.062127508,0.017651589,0.052681638,0.100569872,0.103587112,0.064169482,0.05470192,0.040451127,0.03538689,0.036818007
48149970500,3847,0.125323677,0.125323677,0.125323677,0.106541286,0.156484965,0.167619964,0.197149937,0.24096619,0.373495328,0.341634178,0.310917914,0.246669397,0.221196983,0.352957163,0.335670243
48149970600,5106,0.162009345,0.162009345,0.162009345,0.155744655,0.163918608,0.206691535,0.266177047,0.168951045,0.267666823,0.239834447,0.27335323,0.242396783,0.251561697,0.271377677,0.311117877
48149970700,1995,0.048832198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48157675300,6679,0.084764093,0.084764093,0.084764093,0.062841186,0.122375944,0.049937856,0.107250762,0.159132511,0.1351,0.132535085,0.085342882,0.145837257,0.164271217,0.201234827,0.18596487
48157675400,6298,0.051756325,0.051756325,0.051756325,0.045370887,0.09113289,0.030025526,0.087910718,0.113817413,0.142717339,0.137534214,0.068898404,0.121559857,0.126719743,0.191985593,0.161562137
